place_name,area,category,rating,review_count,avg_cost,crowd_level,best_time,open_now
Diggin Cafe,Chanakyapuri,Cafe,4.4,850,1200,Medium,Evening,Yes
Cafe Lota,Pragati Maidan,Cafe,4.5,1200,900,High,Afternoon,Yes
Indian Accent,Lodhi Road,Restaurant,4.8,4200,5000,High,Dinner,No
AMA Cafe,Majnu Ka Tila,Cafe,4.3,3600,800,High,Evening,Yes
Big Chill,Connaught Place,Restaurant,4.6,2800,2000,Medium,Dinner,Yes
Social,Hauz Khas,Pub,4.2,1900,1800,High,Night,Yes
Saravana Bhavan,Connaught Place,Restaurant,4.1,4100,700,High,Morning,Yes
Perch Wine & Coffee Bar,Khan Market,Cafe,4.4,2100,1500,Medium,Evening,Yes
SodaBottleOpenerWala,Khan Market,Restaurant,4.3,3300,1800,High,Dinner,Yes
Olive Bar & Kitchen,Mehrauli,Restaurant,4.6,2900,4000,High,Dinner,No
Hauz Khas Social,Hauz Khas,Pub,4.1,2500,1600,High,Night,Yes
Chandni Chowk Street Food,Chandni Chowk,Street Food,4.5,5200,300,High,Evening,Yes
United Coffee House,Connaught Place,Restaurant,4.4,3600,2200,Medium,Dinner,Yes
Rose Cafe,Saket,Cafe,4.2,1800,1200,Medium,Afternoon,Yes
Cafe Tesu,Esplanade Mall,Cafe,4.1,1400,1300,Low,Afternoon,Yes
Yum Yum Cha,Khan Market,Restaurant,4.3,2100,2000,Medium,Dinner,Yes
Smoke House Deli,Khan Market,Restaurant,4.4,2700,2200,Medium,Dinner,Yes
Cha Bar,Connaught Place,Cafe,4.0,3200,600,Low,Evening,Yes
Diggin Anand Lok,South Delhi,Cafe,4.5,1900,1300,Medium,Evening,Yes
Cafe Wink,East Delhi,Cafe,4.1,950,800,Low,Afternoon,Yes
Cyber Hub Social,Gurgaon,Pub,4.3,4100,2000,High,Night,Yes
Roots Cafe,Gurgaon,Cafe,4.2,1100,900,Low,Morning,Yes
Cafe Delhi Heights,Dwarka,Cafe,4.1,1600,1200,Medium,Evening,Yes
Barbeque Nation,Noida,Restaurant,4.3,5200,1800,High,Dinner,Yes
The Beer Cafe,Noida,Pub,4.0,2600,1500,Medium,Night,Yes
Farzi Cafe,Connaught Place,Restaurant,4.4,6100,2500,High,Dinner,No
Cafe Hawkers,Janakpuri,Cafe,4.0,700,600,Low,Evening,Yes
Imperfecto,Hauz Khas,Pub,4.2,4300,2000,High,Night,Yes
Spezia Bistro,Safdarjung,Cafe,4.1,980,1100,Low,Afternoon,Yes
Juggernaut,Kailash Colony,Restaurant,4.3,2200,1400,Medium,Dinner,Yes